milliseconds,cpep,cglcex,cg6p,cpyr,cf6p,cg1p,cpg,cfdp,csed7p,cgap,ce4p,cxyl5p,crib5p,cdhap,cpgp,cpg3,cpg2,cribu5p,accoa,malcoa,fer,fer_ext,fercoa,ferdicoa,cur,cur_ext
3200,0.2874686707381229,55.37682611136098,3.60420936959929,6.426422048676576,0.6088736759867027,0.6166983915773044,0.8414141125351355,2.508310474439931,0.21531816644604027,0.45990535849234515,0.1636723616345222,0.17498914250893877,0.5091283940093808,0.5315935804533094,0.001475941312655544,0.3521970932276772,0.05366530317359017,0.13822321460365067,4.152622899559942,0.022161467646611418,219.01144813144757,220.7735240906248,3041.972529492948,-0.00032896738084768894,0.0167842889182312,0.017416376522337032
3300,0.3101080661022715,55.381624596439195,3.601464552640055,6.47429431995771,0.6167879556563697,0.6142303327223615,0.8413821974989693,2.5590254112147304,0.21491760215740127,0.463280172949979,0.16461437929848205,0.1758571128575082,0.5102783605426461,0.5287654024269052,0.001350155830010359,0.2879299399089978,0.06017420675841349,0.13895303718585914,4.266549692651385,0.0015226026570550276,220.8075761179119,221.11973332232196,3275.0107991595364,0.0013261262607024513,0.01744336262460857,0.017408034242192415
3400,0.32080911413314905,55.37127467232702,3.5971181339156564,6.556890711415443,0.6126097850578351,0.6130366186737737,0.842069397322163,2.4449537151530474,0.21582843904333673,0.47109171018731494,0.1642547421948552,0.17438062112937697,0.5040905589396629,0.5377115779817508,0.0013941647317612799,0.27848129065219696,0.05665591368539136,0.13926539813716218,4.418967271521138,-0.007061987084894386,221.28359642430192,218.08274734720945,3245.4217064818677,-0.00025489897105975066,0.0173906647120808,0.017250174249345458
3500,0.38808276016605237,55.37579857995752,3.586079592559925,6.55532657110609,0.6178229825133944,0.6133020029174153,0.8410258730452213,2.5287093550592763,0.21703463222972397,0.45882631232973525,0.163701223486342,0.1771261528716575,0.5051378558718403,0.534223050601898,0.0015562293356411899,0.3362398202638398,0.055408180049050196,0.13934399149599971,4.370276799863883,-0.021440536240785926,212.9211758114206,216.4618251808344,3206.0156913232017,-0.00040883146493773086,0.017360507679867448,0.017337725325767366
3600,0.4010402039271898,55.36791820838718,3.613282755609817,6.730467063414132,0.6072983943275934,0.610037769355008,0.8415229620668252,2.4878232867291286,0.21401308954544834,0.4713273415623084,0.1625618196664442,0.1757059915448253,0.5073568476110649,0.5242593468252252,0.00163406833576158,0.3037971587535945,0.05481958007713863,0.1378859320087318,4.453782905164503,0.004162864981581437,217.8358464743523,217.0229382515952,3379.638443017929,8.908865241182359e-05,0.017771801953917695,0.017340133153230308
3700,0.3505893301050007,55.36635822751154,3.6210249689554983,6.701987367365894,0.6176587304856084,0.6080880397808656,0.8401906984383379,2.4892235411875276,0.21741824464506024,0.46262090399490313,0.1630678280233663,0.17612506587672405,0.5024429469358795,0.5392209474263788,0.0016177300106083661,0.3641433330156951,0.05644838028878478,0.1383025791473836,4.6566127071794154,-0.021618459079985924,216.6984946334012,214.3800207479694,3480.1243241365764,-7.556251127745228e-05,0.017642204068199413,0.017365080533249533
3800,0.39541655281272087,55.362156550374685,3.5700795955519253,6.7439219653986955,0.6112413493409774,0.6085883994687618,0.8400666891970017,2.483225141216601,0.21659245604450172,0.4706097872544153,0.1640091808020331,0.17528579152023158,0.5057434812589441,0.5240854981069982,0.0014338267631320118,0.3451850936205228,0.05817812659674336,0.13853474265884738,4.705594060210838,0.020693913560165506,211.24698584632517,211.0361651599304,3693.7004213254363,8.382816932472599e-06,0.017259282544834168,0.01749075436770819
3900,0.3390726034771689,55.35904696459235,3.6229601102186044,6.719273439514836,0.6141594887427565,0.6084310905476317,0.8409561249660439,2.4474084115562578,0.21876809747170475,0.4692647892606331,0.1622658164545609,0.17578223140810034,0.5054918464365775,0.5341471826930373,0.0015635986997842954,0.3712836378307802,0.05767157485596607,0.13797596932821315,4.894560328149479,-0.0037023457344975306,214.50736467539645,211.49460897399757,3735.344289501579,-0.00047281086064268976,0.01764021127254293,0.017253416311574118
4000,0.3250809380176645,55.35543425140745,3.598966008545796,6.824402017885533,0.6183169233356197,0.6028194402595292,0.840627771397692,2.3462102940699845,0.21838856686498476,0.46354179402928997,0.164468525663068,0.1768378285049405,0.5035557441607073,0.5357619781976691,0.0014830398304953181,0.3617251366157842,0.053534901096400085,0.13844762137916997,4.740439050874254,-0.014652372213730537,210.53647959454776,211.1276908095814,3797.6939524505647,0.0005406837996097745,0.017377767646599075,0.01767364933772419
4100,0.38397267905571464,55.35267646718944,3.6317721694020775,6.966899106841497,0.6211562753431952,0.6048096288105993,0.8396026156375215,2.412495092698156,0.21494238673779076,0.4614052980903108,0.16431166529108512,0.177668288030242,0.5063726681986886,0.5340722239419867,0.0015502185631209298,0.3319888833669216,0.055666502477755515,0.13971211695955812,4.999705423816564,-0.02056990739609073,211.72072032424325,207.03635178486576,3811.375735878962,0.0004558261153318745,0.017641726578367236,0.01738976744610746
4200,0.3340851470167212,55.351837385756,3.6438517512493203,6.919764689266127,0.6145361405524259,0.6031957733242337,0.8392619354877959,2.4431882556853965,0.21485778355692897,0.4673060975002141,0.16404115352297607,0.17830285905557205,0.5054374438212399,0.5157397413859386,0.0015664206274993158,0.3276386176937512,0.06218045010398339,0.1383250503573094,5.111122427081118,0.01401149032359702,208.55010561143072,206.6186751743778,4053.4898906014746,0.000522799628975836,0.017515372096974124,0.01737369600814021
4300,0.3957665140507988,55.352783308801804,3.6107642538533073,6.988674525907447,0.6122590658539001,0.6004071937646818,0.8392198603921648,2.415711833067125,0.21468236395683507,0.46220535539971,0.1631248193279076,0.17673138757248172,0.5071335667352453,0.5308506328297498,0.0016570490191274772,0.34036687702296575,0.054292685838723286,0.13959703268937734,5.011145900906232,-0.020208084304066357,201.17389719461764,206.905581182898,4231.685427487798,0.000987448574559861,0.01805291629073158,0.01752792029001332
4400,0.33259601434706026,55.34955431595065,3.592569851315827,7.059710539810048,0.6107232743360024,0.5996778567356464,0.8395424340331528,2.365766943067657,0.21719993960172385,0.46582053731700335,0.1646493950964065,0.17859845531622398,0.5055982814714615,0.5296012318847088,0.0015172913983311257,0.34079917495896517,0.06759856450087595,0.13946692037541314,5.288544167649985,-0.00540737630730667,201.01043297636355,203.31030426365942,4088.258894852679,0.001030581176200156,0.018056371656300155,0.01772944613993409
4500,0.38792879546121817,55.34545658076269,3.6150585343368156,7.055832084329548,0.6141133495322542,0.5978562288473116,0.8397579842446136,2.327045078829521,0.2187432744620869,0.46455082577253237,0.16533365012106038,0.1785598769272294,0.5055901943582108,0.5316422629945271,0.0016247163716589883,0.34378726120585595,0.05960582416920356,0.13899328248139087,5.294517384906092,-0.01995572393905245,202.2781490270614,202.69422174121897,4207.120523727188,-6.35565778916012e-05,0.01795883949393024,0.018203044007301435
4600,0.40235440766460967,55.341970539322276,3.647138232636341,7.056163797518832,0.6160237353841289,0.5971738519866211,0.8400458110911528,2.390368398013407,0.21396508159772587,0.4654603781974671,0.1635887898927261,0.1784504992927424,0.5011808794373079,0.5239795582676946,0.001535325008696153,0.3129736848861654,0.05389136179322065,0.13931650467202264,5.407798169883603,-0.01589213545131659,198.72084058429084,201.1755444819269,4366.291683886805,0.00101651498863766,0.01826498866890731,0.017844797416926454
4700,0.3529007060984523,55.341139014749736,3.6112051658768993,7.146429907509705,0.614569638037462,0.5953876212786402,0.8394177993568509,2.3310021506424796,0.21930478370146597,0.46548528716297694,0.1626280880238941,0.17609411949420795,0.5052097839585858,0.5144007245996569,0.0016870534109169604,0.33992705558911035,0.06392302646971124,0.1395437567943315,5.612509127078561,-0.008917609700507314,195.4036539308975,197.27707628357297,4512.887800535413,-0.0001537628584845984,0.018449598722245095,0.018238190673575305
4800,0.33901205030618603,55.33360853030591,3.6537275830669973,7.091248315143702,0.6132801911231353,0.5963581869252891,0.8397308188492612,2.365288295489339,0.2198431944061832,0.4708477235754225,0.16229545223587868,0.1791094242637291,0.5048802272746402,0.5248705924504631,0.0016689870228477443,0.38492151658738266,0.06841429246669609,0.1397783901529446,5.507554576917253,0.009298876507906607,199.74633078992932,199.21740510513717,4646.659947286845,0.000721530189062997,0.018491691150588123,0.018197366892827138
4900,0.39719499765356353,55.33687618063201,3.6655721115845057,7.289635589067382,0.6138556932921208,0.5924552393902577,0.8389791264912003,2.3973227561041126,0.21467080742427713,0.465207693317336,0.16248954887642475,0.17803528753094724,0.504974636254931,0.5184279636028873,0.0016908312490113502,0.35427352604478285,0.05521407052737569,0.13817552177807743,5.655957351021703,-0.004484893681610529,193.26702646206914,197.82088181302439,4820.631081221171,0.0007348426659892846,0.01812201703345441,0.018139348149516003
5000,0.41722460990563603,55.328969694641884,3.643142858914571,7.162984476844664,0.6125525452886884,0.5944654323071676,0.839003777655919,2.3406153239942307,0.21712554219417154,0.4628179978381858,0.1633012053576161,0.1790348913872757,0.5029508958547135,0.5140076350182952,0.0017240613751273513,0.368714988119573,0.05494215524295126,0.13862909651963576,5.8359422318826715,0.000557972300304828,191.5962302368982,194.3108708945062,4760.535050223394,-0.0004590419411398367,0.018169897374998193,0.018595270189249724
