milliseconds,mLiver,mKidneyPlasma,mRemainder,mPlasmaVenous,mHeart,mMuscle,mAdipose,mBrain,mFeces,mUrineExternal,mIntestineLumen,mPlasmaArterial,mLung,mPortalVein,mStomach,mEnterocytes,mKidneyTissue,mIntestineVascular,mStomachLumen,mRBC,mKidneyTubular
3700,39.22194840579436,7.21749432915131,3.9614899372441936,4.744461605777278,12.048896115992193,17.91231966706968,3.8100672814676613,3.825719579330467,1385.9721795356654,364.45375282266934,132.8292398740608,4.751714036669491,14.248192104352773,7.298268646866458,15.62967244250142,1345.1135760853385,41.39324686698677,41.722311022708446,213.46412664181173,0.6147756539378492,2471.4749501280253
3800,37.87073557313662,7.070994273298236,3.8845170275000425,4.648329321364414,11.807556684370446,17.981652739579925,3.758265603738324,3.7486210391349672,1394.2357454426303,381.7502401146431,121.59014863063594,4.655530659907099,13.959690669475506,7.029201636088582,15.32058562322888,1247.5903095925507,40.41279120961132,39.924923300485894,193.15050929729227,0.6300049458885089,2469.8304325826657
3900,36.565377743873576,6.925693983620347,3.8076775845059574,4.552994524686714,11.567768249847257,18.027608795123474,3.703974619494319,3.672093419187361,1401.7984498701949,399.02394797344937,111.25299011765735,4.560129252188717,13.673550047665799,6.7703953589568515,15.012869280053144,1155.6766490379405,39.44642364733416,38.20571968165367,174.77003985612993,0.6448027451279281,2465.007423253331
4000,35.30577645591083,6.781887983662972,3.7311923765338353,4.458647932027247,11.330068209468685,18.051552349622536,3.647624453410866,3.5962985387077695,1408.716755427039,416.2534705716999,101.7520445365543,4.465702680101922,13.39034677394277,6.521706506834081,14.70729411011989,1069.2451495509888,38.49596756007777,36.56291532854887,158.138641804136,0.6591743342862119,2457.244167554987
4100,34.09161788319464,6.639828689303492,3.6552516944288143,4.365453006660802,11.094918492917397,18.05481687795557,3.5896042203492686,3.521375310135336,1415.0429970489297,433.41903313424626,93.02586215821697,4.372416305123124,13.110575110545074,6.282960597263786,14.404523668003685,988.1425880285698,37.562931816522664,34.99457320168982,143.08987410811056,0.6731256597966325,2446.7697351518023
4200,32.92241202675579,6.49973170994286,3.5800196236899553,4.273549481536658,10.862715663983497,18.03870025453859,3.5302649572318825,3.4474427564084142,1420.8256402979325,450.50243046056585,85.01678572058655,4.280411549983044,12.834657703367865,6.053958799732792,14.105129105403348,912.1970497610439,36.64848491296736,33.4986485181833,129.4731483560198,0.6866632208617621,2433.803637148179
4300,31.797521979188648,6.361780176396343,3.505637186788166,4.183056047746555,10.63379832906589,18.004461874062606,3.46992256387246,3.3746022449558812,1426.109533255778,467.48695919343044,77.67109739867634,4.189808598942658,12.56295367135926,5.834483200591201,13.809599915054946,841.2200181698202,35.75359467300483,32.07301803585093,117.15222528485312,0.6997939818291348,2418.555550327353
4400,30.716189517601055,6.2261284904199705,3.432225228501963,4.094072809633163,10.408454005739697,17.953320183132668,3.4088606604982687,3.3029395668481794,1430.936148619268,484.3573496658866,70.93858353042535,4.100708886437013,12.295766040878055,5.6242998589778885,13.51835383231434,775.0117516745067,34.87898142193142,30.715496067831307,106.00379735727572,0.7125252906517942,2401.2252871148867
4500,29.677556804072424,6.092905557942927,3.3598867205489373,4.006683352395399,10.18692480443049,17.886451079491597,3.3473331431827895,3.232526672045289,1435.343801819496,501.09969752204825,64.77236823426828,4.013197186790244,12.033347993922748,5.42316167030035,13.23174487539826,713.3643397856156,34.02515612651258,29.42384943552729,95.9162793931044,0.7248648105344608,2382.002801043596
4600,28.680680408670213,5.962217290957039,3.2887086968927903,3.9209563385991406,9.969412100737902,17.804986971597447,3.285566757747775,3.163423071281507,1439.3678702265818,517.701393596617,59.128939320172,3.9273432377922983,11.775907711564036,5.230810675412902,12.950070017421778,656.0630929725895,33.19256522776222,28.195812344924477,86.78870830653975,0.7368204612539165,2361.0681906034015
4700,27.724545489657974,5.834148880475601,3.218763991485512,3.836946992121895,9.756080682680896,17.710016033287108,3.2237634133202353,3.0956770638103874,1443.0409933484368,534.1510561208072,53.96756113618436,3.843203224115511,11.52361282532286,5.046980897983897,12.673575204192932,602.8914326423546,32.38135317967857,27.02910060133899,78.52973128762042,0.7484003641956538,2338.5920957672615
4800,26.808079464181912,5.708766953538131,3.1501127461440728,3.754698490790449,9.54706244986176,17.602581798733237,3.1621023005525064,3.029326875601065,1446.3932622271232,550.4384637358663,49.25045652580403,3.7608211831228453,11.276594622215951,4.8714003584465075,12.4024606192842,553.6308429018213,31.59171309687585,25.921424442620015,71.05669577546564,0.7596127932469587,2314.7355506127456
4900,25.930163595563663,5.586121500731514,3.08280377949582,3.6742432113448165,9.342459815958641,17.483682992392666,3.1007419175985023,2.9644017003869885,1449.4523988371589,566.5544896224699,44.94242504426774,3.6802302594588467,11.034951799162375,4.70379297523366,12.136885491621776,508.0640423974227,30.823690389460403,24.870498542041776,64.2948005085066,0.7704661296395761,2289.6504076499064
5000,25.089644267993382,5.466247666999135,3.016875734133705,3.5956038783139284,9.142348720396436,17.354273685465326,3.0398217571863912,2.9009226563097683,1452.243911335516,582.4910392580559,41.0105737439172,3.60145386904001,10.798753940358766,4.543879770776767,11.876972217252488,465.97718933699804,30.077045161452965,23.87404762469304,58.1763804440917,0.7809688234590978,2263.4797270470517
