milliseconds,E1,E2,KKK,P_KKK,KK,P_KK,PP_KK,K,P_K,PP_K,KPase,KKPase,E1_KKK,E2_P_KKK,P_KKK_KK,P_KKK_P_KK,PP_KK_K,PP_KK_P_K,KKPase_PP_KK,KKPase_P_KK,KPase_PP_K,KPase_P_K,K_PP_norm,KK_PP_norm,KKK_P_norm,rel_K_PP_max
3000,2.971427271687136e-05,0.0002999768249498297,0.0028835363248479896,2.3204105109341078e-05,1.169020591009595,0.03057602393404576,5.608549492556482e-05,1.1989962014221063,0.0005570646614627621,3.395089516821901e-13,0.11977739036299559,0.00026952429127732565,2.857272831286792e-07,2.3175050170277624e-08,9.209907790969508e-05,6.004957142543192e-07,0.00022412427895037433,1.365947891327625e-13,5.602972064448448e-08,3.041967900203004e-05,1.3567181923270107e-13,0.00022260963686868872,3.959839757624093e-13,0.00023355483644431533,0.03864177266253149,4.3995824200950094e-13
3100,2.9714639035697314e-05,0.00029997606629488893,0.002879733045444764,2.396275335616681e-05,1.1678644835022798,0.0317172754404703,5.822390180017443e-05,1.1989579287353835,0.0005783043659917512,3.524552119146763e-13,0.11976890271698706,0.0002683866293087887,2.8536096430272646e-07,2.393370511107013e-08,9.51108010635756e-05,6.233684357098734e-07,0.0002326696151174926,1.4180346383118308e-13,5.8166003242228835e-08,3.155520468796923e-05,1.408452989577528e-13,0.00023109728287205349,4.110837590603576e-13,0.00024245973588559388,0.03990655695264817,4.567348656132695e-13
3200,2.971500535452327e-05,0.00029997530763994814,0.0028759297660415385,2.472140160299255e-05,1.1667083759949644,0.032858526946894846,6.036230867478404e-05,1.1989196560486606,0.0005995440705207402,3.654014721471625e-13,0.11976041507097852,0.0002672489673402518,2.849946454767738e-07,2.469236005186264e-08,9.812252421745615e-05,6.462411571654279e-07,0.0002412149512846109,1.4701213852960368e-13,6.030228583997319e-08,3.269073037390842e-05,1.4601877868280452e-13,0.00023958492887541822,4.2618354235830586e-13,0.00025136463532687256,0.04117134970604517,4.73511489217038e-13
3300,2.9715371673349225e-05,0.00029997454898500735,0.002872126486638313,2.5480049849818287e-05,1.165552268487649,0.0339997784533194,6.250071554939365e-05,1.198881383361938,0.0006207837750497294,3.7834773237964877e-13,0.11975192742496998,0.00026611130537171487,2.846283266508211e-07,2.5451014992655145e-08,0.00010113424737133671,6.691138786209822e-07,0.0002497602874517292,1.5222081322802428e-13,6.243856843771754e-08,3.382625605984761e-05,1.5119225840785625e-13,0.00024807257487878304,4.4128332565625403e-13,0.00026026953476815113,0.04243615092280744,4.902881128208065e-13
3400,2.971573799217518e-05,0.0002999737903300665,0.0028683232072350875,2.6238698096644024e-05,1.1643961609803337,0.03514102995974394,6.463912242400326e-05,1.198843110675215,0.0006420234795787185,3.91293992612135e-13,0.11974343977896144,0.0002649736434031779,2.842620078248684e-07,2.6209669933447657e-08,0.00010414597052521724,6.919866000765367e-07,0.0002583056236188475,1.5742948792644488e-13,6.457485103546188e-08,3.4961781745786804e-05,1.56365738132908e-13,0.0002565602208821478,4.563831089542025e-13,0.00026917443420942965,0.043700960603019916,5.070647364245752e-13
3500,2.971610431100113e-05,0.0002999730316751257,0.0028645199278318624,2.6997346343469765e-05,1.1632400534730183,0.03628228146616849,6.677752929861287e-05,1.1988048379884924,0.0006632631841077077,4.0424025284462126e-13,0.1197349521329529,0.000263835981434641,2.8389568899891567e-07,2.6968324874240163e-08,0.0001071576936790978,7.148593215320911e-07,0.0002668509597859658,1.6263816262486547e-13,6.671113363320623e-08,3.6097307431725995e-05,1.6153921785795974e-13,0.00026504786688551256,4.714828922521508e-13,0.00027807933365070833,0.04496577874676754,5.238413600283437e-13
3600,2.971647062982709e-05,0.00029997227302018493,0.002860716648428637,2.77559945902955e-05,1.1620839459657029,0.03742353297259303,6.891593617322248e-05,1.1987665653017694,0.0006845028886366967,4.1718651307710743e-13,0.11972646448694436,0.0002626983194661041,2.83529370172963e-07,2.7726979815032665e-08,0.00011016941683297833,7.377320429876454e-07,0.00027539629595308405,1.6784683732328607e-13,6.884741623095058e-08,3.723283311766518e-05,1.6671269758301144e-13,0.0002735355128888773,4.865826755500991e-13,0.0002869842330919869,0.046230605354135285,5.406179836321124e-13
3700,2.9716836948653043e-05,0.00029997151436524414,0.0028569133690254113,2.8514642837121233e-05,1.1609278384583877,0.03856478447901758,7.10543430478321e-05,1.1987282926150467,0.0007057425931656857,4.3013277330959366e-13,0.11971797684093582,0.0002615606574975671,2.831630513470103e-07,2.8485634755825178e-08,0.00011318113998685887,7.606047644431998e-07,0.00028394163212020233,1.7305551202170667e-13,7.098369882869493e-08,3.836835880360438e-05,1.718861773080632e-13,0.0002820231588922421,5.016824588480474e-13,0.0002958891325332655,0.047495440425208105,5.57394607235881e-13
3800,2.9717203267478994e-05,0.00029997075571030335,0.002853110089622186,2.927329108394697e-05,1.1597717309510722,0.039706035985442124,7.31927499224417e-05,1.198690019928324,0.0007269822976946749,4.4307903354207993e-13,0.11970948919492728,0.0002604229955290302,2.827967325210576e-07,2.9244289696617687e-08,0.00011619286314073943,7.834774858987543e-07,0.0002924869682873206,1.782641867201273e-13,7.311998142643929e-08,3.950388448954357e-05,1.7705965703311493e-13,0.0002905108048956069,5.167822421459957e-13,0.00030479403197454405,0.04876028396007093,5.741712308396495e-13
3900,2.9717470418672535e-05,0.00029997018292236165,0.0028503976005609063,2.984618068799417e-05,1.1575787565477258,0.041285962441614255,0.00020263754366024373,1.1960712716106128,0.0022707437197607523,0.00011532775538567079,0.11923043926840395,0.000259568360025408,2.825295813275225e-07,2.981707763837394e-08,0.00011784860872967782,1.267035650952332e-06,0.0007268823357660668,4.6213846878484216e-05,1.5253031116957115e-07,4.0279109663422743e-05,4.610555634161523e-05,0.0007234551752545238,0.00013452775977273836,0.0008132385471799704,0.049664546301368656,0.00014946715098037813
4000,2.971772678215346e-05,0.00029996963035351475,0.0028478037705059922,3.039886298443295e-05,1.1552729890705082,0.04291360909813383,0.00034593105679747905,1.1931718124518262,0.003980129008509772,0.00024320116303541082,0.11870020035487545,0.0002587445128757073,2.8227321784659696e-07,3.0369646485246626e-08,0.00011935684755739612,1.8007083750393878e-06,0.0012076027756562555,9.745495584745112e-05,2.403467124550944e-07,4.101514041183801e-05,9.722659464920305e-05,0.0012025730504755501,0.0002836897980705116,0.0013760242791780338,0.050529582759458805,0.0003151937261976977
4100,2.971798314563439e-05,0.0002999690777846679,0.0028452099404510786,3.0951545280871734e-05,1.152967221593291,0.04454125575465338,0.0004892245699347159,1.1902723532930397,0.005689514297258792,0.0003710745706851508,0.11816996144134698,0.00025792066572600657,2.820168543656715e-07,3.0922215332119305e-08,0.00012086508638511445,2.334381099126444e-06,0.001688323215546444,0.00014869606481641802,3.281631137406176e-07,4.175117116025328e-05,0.00014834763295679164,0.0016816909256965767,0.0004328518363682854,0.0019388100111760987,0.05139461877698239,0.00048092030141501786
4200,2.9718239509115312e-05,0.000299968525215821,0.002842616110396165,3.1504227577310514e-05,1.1506614541160736,0.046168902411172934,0.0006325180830719527,1.1873728941342532,0.007398899586007811,0.0004989479783348909,0.11763972252781849,0.0002570968185763059,2.81760490884746e-07,3.147478417899199e-08,0.00012237332521283274,2.8680538232134997e-06,0.0021690436554366328,0.0001999371737853857,4.1597951502613926e-07,4.248720190866854e-05,0.00019946867126437946,0.0021608088009175967,0.0005820138746660587,0.002501595743174164,0.05225965435393972,0.0006466468766323374
